"TIME","GEO","VICTIM","UNIT","Value","Flag and Footnotes"
"2002","Slovenia","Injured","Number","14,083",""
"2002","Slovenia","Injured","Per million inhabitants","7,063",""
"2002","Slovakia","Killed","Number","626",""
"2002","Slovakia","Killed","Per million inhabitants","116",""
"2002","Slovakia","Injured","Number","10,263",""
"2002","Slovakia","Injured","Per million inhabitants","1,908",""
"2002","Finland","Killed","Number","415",""
"2002","Finland","Killed","Per million inhabitants","80",""
"2002","Finland","Injured","Number","8,156",""
"2002","Finland","Injured","Per million inhabitants","1,570",""
"2002","Sweden","Killed","Number","560",""
"2002","Sweden","Killed","Per million inhabitants","63",""
"2002","Sweden","Injured","Number","24,747",""
"2002","Sweden","Injured","Per million inhabitants","2,778",""
"2002","United Kingdom","Killed","Number","3,581",""
"2002","United Kingdom","Killed","Per million inhabitants","60",""
"2002","United Kingdom","Injured","Number","310,938",""
"2002","United Kingdom","Injured","Per million inhabitants","5,249",""
"2002","Liechtenstein","Killed","Number","0",""
"2002","Liechtenstein","Killed","Per million inhabitants","0",""
"2002","Liechtenstein","Injured","Number","138",""
"2002","Liechtenstein","Injured","Per million inhabitants","4,116",""
"2002","Norway","Killed","Number",":",""
"2002","Norway","Killed","Per million inhabitants",":",""
"2002","Norway","Injured","Number",":",""
"2002","Norway","Injured","Per million inhabitants",":",""
"2002","Switzerland","Killed","Number","513",""
"2002","Switzerland","Killed","Per million inhabitants","71",""
"2002","Switzerland","Injured","Number","29,774",""
"2002","Switzerland","Injured","Per million inhabitants","4,104",""
"2002","Turkey","Killed","Number","4,093",""
"2002","Turkey","Killed","Per million inhabitants","59",""
"2002","Turkey","Injured","Number","116,412",""
"2002","Turkey","Injured","Per million inhabitants","1,691",""
"2003","Belgium","Killed","Number","1,215",""
"2003","Belgium","Killed","Per million inhabitants","117",""
"2003","Belgium","Injured","Number","65,386",""
"2003","Belgium","Injured","Per million inhabitants","6,314",""
"2003","Bulgaria","Killed","Number",":",""
"2003","Bulgaria","Killed","Per million inhabitants",":",""
"2003","Bulgaria","Injured","Number",":",""
"2003","Bulgaria","Injured","Per million inhabitants",":",""
"2003","Czechia","Killed","Number","1,447",""
"2003","Czechia","Killed","Per million inhabitants","142",""
"2003","Czechia","Injured","Number","35,437",""
"2003","Czechia","Injured","Per million inhabitants","3,477",""
"2003","Denmark","Killed","Number","432",""
"2003","Denmark","Killed","Per million inhabitants","80",""
"2003","Denmark","Injured","Number","8,412",""
"2003","Denmark","Injured","Per million inhabitants","1,563",""
"2003","Germany (until 1990 former territory of the FRG)","Killed","Number","6,613",""
"2003","Germany (until 1990 former territory of the FRG)","Killed","Per million inhabitants","80",""
"2003","Germany (until 1990 former territory of the FRG)","Injured","Number","462,170",""
"2003","Germany (until 1990 former territory of the FRG)","Injured","Per million inhabitants","5,600",""
"2003","Estonia","Killed","Number","164",""
"2003","Estonia","Killed","Per million inhabitants","119",""
"2003","Estonia","Injured","Number","2,539",""
"2003","Estonia","Injured","Per million inhabitants","1,846",""
"2003","Ireland","Killed","Number","335",""
"2003","Ireland","Killed","Per million inhabitants","85",""
"2003","Ireland","Injured","Number","8,262",""
"2003","Ireland","Injured","Per million inhabitants","2,084",""
"2003","Greece","Killed","Number","1,605",""
"2003","Greece","Killed","Per million inhabitants","147",""
"2003","Greece","Injured","Number","20,737",""
"2003","Greece","Injured","Per million inhabitants","1,900",""
"2003","Spain","Killed","Number","5,399",""
"2003","Spain","Killed","Per million inhabitants","129",""
"2003","Spain","Injured","Number","150,635",""
"2003","Spain","Injured","Per million inhabitants","3,601",""
"2003","France","Killed","Number","5,937",""
"2003","France","Killed","Per million inhabitants","96",""
"2003","France","Injured","Number","119,069",""
"2003","France","Injured","Per million inhabitants","1,925",""
"2003","Croatia","Killed","Number","701",""
"2003","Croatia","Killed","Per million inhabitants","163",""
"2003","Croatia","Injured","Number","26,153",""
"2003","Croatia","Injured","Per million inhabitants","6,074",""
"2003","Italy","Killed","Number","6,563",""
"2003","Italy","Killed","Per million inhabitants","115",""
"2003","Italy","Injured","Number","356,475",""
"2003","Italy","Injured","Per million inhabitants","6,240",""
"2003","Cyprus","Killed","Number","97",""
"2003","Cyprus","Killed","Per million inhabitants","136",""
"2003","Cyprus","Injured","Number","3,411",""
"2003","Cyprus","Injured","Per million inhabitants","4,779",""
"2003","Latvia","Killed","Number","493",""
"2003","Latvia","Killed","Per million inhabitants","214",""
"2003","Latvia","Injured","Number","6,639",""
"2003","Latvia","Injured","Per million inhabitants","2,887",""
"2003","Lithuania","Killed","Number","709",""
"2003","Lithuania","Killed","Per million inhabitants","207",""
"2003","Lithuania","Injured","Number","7,266",""
"2003","Lithuania","Injured","Per million inhabitants","2,117",""
"2003","Luxembourg","Killed","Number","53",""
"2003","Luxembourg","Killed","Per million inhabitants","118",""
"2003","Luxembourg","Injured","Number","1,052",""
"2003","Luxembourg","Injured","Per million inhabitants","2,347",""
"2003","Hungary","Killed","Number","1,326",""
"2003","Hungary","Killed","Per million inhabitants","131",""
"2003","Hungary","Injured","Number","26,627",""
"2003","Hungary","Injured","Per million inhabitants","2,625",""
"2003","Malta","Killed","Number","17",""
"2003","Malta","Killed","Per million inhabitants","43",""
"2003","Malta","Injured","Number","1,188",""
"2003","Malta","Injured","Per million inhabitants","2,990",""
"2003","Netherlands","Killed","Number","1,088",""
"2003","Netherlands","Killed","Per million inhabitants","67",""
"2003","Netherlands","Injured","Number","10,596",""
"2003","Netherlands","Injured","Per million inhabitants","654",""
"2003","Austria","Killed","Number","931",""
"2003","Austria","Killed","Per million inhabitants","115",""
"2003","Austria","Injured","Number","56,881",""
"2003","Austria","Injured","Per million inhabitants","7,022",""
"2003","Poland","Killed","Number","5,640",""
"2003","Poland","Killed","Per million inhabitants","148",""
"2003","Poland","Injured","Number","63,900",""
"2003","Poland","Injured","Per million inhabitants","1,672",""
"2003","Portugal","Killed","Number",":",""
"2003","Portugal","Killed","Per million inhabitants",":",""
"2003","Portugal","Injured","Number",":",""
"2003","Portugal","Injured","Per million inhabitants",":",""
"2003","Romania","Killed","Number","2,229",""
"2003","Romania","Killed","Per million inhabitants","103",""
"2003","Romania","Injured","Number","6,469",""
"2003","Romania","Injured","Per million inhabitants","299",""
"2003","Slovenia","Killed","Number","242",""
"2003","Slovenia","Killed","Per million inhabitants","121",""
"2003","Slovenia","Injured","Number","16,703",""
"2003","Slovenia","Injured","Per million inhabitants","8,372",""
"2003","Slovakia","Killed","Number","653",""
"2003","Slovakia","Killed","Per million inhabitants","121",""
"2003","Slovakia","Injured","Number","11,321",""
"2003","Slovakia","Injured","Per million inhabitants","2,106",""
"2003","Finland","Killed","Number","379",""
"2003","Finland","Killed","Per million inhabitants","73",""
"2003","Finland","Injured","Number","9,088",""
"2003","Finland","Injured","Per million inhabitants","1,746",""
"2003","Sweden","Killed","Number","529",""
"2003","Sweden","Killed","Per million inhabitants","59",""
"2003","Sweden","Injured","Number","27,103",""
"2003","Sweden","Injured","Per million inhabitants","3,031",""
"2003","United Kingdom","Killed","Number","3,658",""
"2003","United Kingdom","Killed","Per million inhabitants","61",""
"2003","United Kingdom","Injured","Number","297,274",""
"2003","United Kingdom","Injured","Per million inhabitants","4,996",""
"2003","Liechtenstein","Killed","Number","5",""
"2003","Liechtenstein","Killed","Per million inhabitants","148",""
"2003","Liechtenstein","Injured","Number","147",""
"2003","Liechtenstein","Injured","Per million inhabitants","4,341",""
"2003","Norway","Killed","Number",":",""
"2003","Norway","Killed","Per million inhabitants",":",""
"2003","Norway","Injured","Number",":",""
"2003","Norway","Injured","Per million inhabitants",":",""
"2003","Switzerland","Killed","Number","546",""
"2003","Switzerland","Killed","Per million inhabitants","75",""
"2003","Switzerland","Injured","Number","30,098",""
"2003","Switzerland","Injured","Per million inhabitants","4,115",""
"2003","Turkey","Killed","Number","3,946",""
"2003","Turkey","Killed","Per million inhabitants","57",""
"2003","Turkey","Injured","Number","118,214",""
"2003","Turkey","Injured","Per million inhabitants","1,694",""
"2004","Belgium","Killed","Number","1,163",""
"2004","Belgium","Killed","Per million inhabitants","112",""
"2004","Belgium","Injured","Number","62,993",""
"2004","Belgium","Injured","Per million inhabitants","6,059",""
"2004","Bulgaria","Killed","Number","943",""
"2004","Bulgaria","Killed","Per million inhabitants","122",""
"2004","Bulgaria","Injured","Number","9,308",""
"2004","Bulgaria","Injured","Per million inhabitants","1,202",""
"2004","Czechia","Killed","Number","1,382",""
"2004","Czechia","Killed","Per million inhabitants","136",""
"2004","Czechia","Injured","Number","34,254",""
"2004","Czechia","Injured","Per million inhabitants","3,360",""
"2004","Denmark","Killed","Number","369",""
"2004","Denmark","Killed","Per million inhabitants","68",""
"2004","Denmark","Injured","Number","7,546",""
"2004","Denmark","Injured","Per million inhabitants","1,398",""
"2004","Germany (until 1990 former territory of the FRG)","Killed","Number","5,842",""
"2004","Germany (until 1990 former territory of the FRG)","Killed","Per million inhabitants","71",""
"2004","Germany (until 1990 former territory of the FRG)","Injured","Number","440,126",""
"2004","Germany (until 1990 former territory of the FRG)","Injured","Per million inhabitants","5,333",""
"2004","Estonia","Killed","Number","170",""
"2004","Estonia","Killed","Per million inhabitants","124",""
"2004","Estonia","Injured","Number","2,875",""
"2004","Estonia","Injured","Per million inhabitants","2,104",""
"2004","Ireland","Killed","Number","374",""
"2004","Ireland","Killed","Per million inhabitants","93",""
"2004","Ireland","Injured","Number","7,867",""
"2004","Ireland","Injured","Per million inhabitants","1,953",""
"2004","Greece","Killed","Number","1,670",""
"2004","Greece","Killed","Per million inhabitants","153",""
"2004","Greece","Injured","Number","20,179",""
"2004","Greece","Injured","Per million inhabitants","1,844",""
"2004","Spain","Killed","Number","4,741",""
"2004","Spain","Killed","Per million inhabitants","111",""
"2004","Spain","Injured","Number","138,383",""
"2004","Spain","Injured","Per million inhabitants","3,252",""
"2004","France","Killed","Number","5,443",""
"2004","France","Killed","Per million inhabitants","87",""
"2004","France","Injured","Number","112,023",""
"2004","France","Injured","Per million inhabitants","1,798",""
"2004","Croatia","Killed","Number","608",""
"2004","Croatia","Killed","Per million inhabitants","141",""
"2004","Croatia","Injured","Number","24,271",""
"2004","Croatia","Injured","Per million inhabitants","5,637",""
"2004","Italy","Killed","Number","6,122",""
"2004","Italy","Killed","Per million inhabitants","106",""
"2004","Italy","Injured","Number","343,179",""
"2004","Italy","Injured","Per million inhabitants","5,969",""
"2004","Cyprus","Killed","Number","117",""
"2004","Cyprus","Killed","Per million inhabitants","162",""
"2004","Cyprus","Injured","Number","3,176",""
"2004","Cyprus","Injured","Per million inhabitants","4,393",""
"2004","Latvia","Killed","Number","516",""
"2004","Latvia","Killed","Per million inhabitants","227",""
"2004","Latvia","Injured","Number","6,416",""
"2004","Latvia","Injured","Per million inhabitants","2,818",""
"2004","Lithuania","Killed","Number","752",""
"2004","Lithuania","Killed","Per million inhabitants","221",""
"2004","Lithuania","Injured","Number","7,862",""
"2004","Lithuania","Injured","Per million inhabitants","2,313",""
"2004","Luxembourg","Killed","Number","50",""
"2004","Luxembourg","Killed","Per million inhabitants","110",""
"2004","Luxembourg","Injured","Number","990",""
"2004","Luxembourg","Injured","Per million inhabitants","2,176",""
"2004","Hungary","Killed","Number","1,296",""
"2004","Hungary","Killed","Per million inhabitants","128",""
"2004","Hungary","Injured","Number","28,054",""
"2004","Hungary","Injured","Per million inhabitants","2,773",""
"2004","Malta","Killed","Number","13",""
"2004","Malta","Killed","Per million inhabitants","33",""
"2004","Malta","Injured","Number","1,281",""
"2004","Malta","Injured","Per million inhabitants","3,204",""
"2004","Netherlands","Killed","Number","881",""
"2004","Netherlands","Killed","Per million inhabitants","54",""
"2004","Netherlands","Injured","Number","9,487",""
"2004","Netherlands","Injured","Per million inhabitants","584",""
"2004","Austria","Killed","Number","878",""
"2004","Austria","Killed","Per million inhabitants","108",""
"2004","Austria","Injured","Number","55,857",""
"2004","Austria","Injured","Per million inhabitants","6,860",""
"2004","Poland","Killed","Number","5,712",""
"2004","Poland","Killed","Per million inhabitants","150",""
"2004","Poland","Injured","Number","64,661",""
"2004","Poland","Injured","Per million inhabitants","1,693",""
"2004","Portugal","Killed","Number",":",""
"2004","Portugal","Killed","Per million inhabitants",":",""
"2004","Portugal","Injured","Number",":",""
"2004","Portugal","Injured","Per million inhabitants",":",""
"2004","Romania","Killed","Number","2,444",""
"2004","Romania","Killed","Per million inhabitants","114",""
"2004","Romania","Injured","Number","6,715",""
