"TIME","GEO","VEHICLE","UNIT","Value","Flag and Footnotes"
"2001","Malta","Passenger cars","Per thousand inhabitants","495",""
"2001","Malta","Motor coaches, buses and trolley buses","Number","1,100",""
"2001","Malta","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Malta","Special vehicles","Number",":",""
"2001","Malta","Special vehicles","Per thousand inhabitants",":",""
"2001","Netherlands","All vehicles (except trailers and motorcycles)","Number","7,707,526",""
"2001","Netherlands","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Netherlands","Total utility vehicles","Number","985,605",""
"2001","Netherlands","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Netherlands","Lorries","Number","880,300",""
"2001","Netherlands","Lorries","Per thousand inhabitants",":",""
"2001","Netherlands","Road tractors","Number","62,013",""
"2001","Netherlands","Road tractors","Per thousand inhabitants",":",""
"2001","Netherlands","Trailers and semi-trailers","Number",":",""
"2001","Netherlands","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Netherlands","Motorcycles","Number","460,818",""
"2001","Netherlands","Motorcycles","Per thousand inhabitants",":",""
"2001","Netherlands","Passenger cars","Number","6,710,595",""
"2001","Netherlands","Passenger cars","Per thousand inhabitants","417",""
"2001","Netherlands","Motor coaches, buses and trolley buses","Number","11,326",""
"2001","Netherlands","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Netherlands","Special vehicles","Number","43,292",""
"2001","Netherlands","Special vehicles","Per thousand inhabitants",":",""
"2001","Austria","All vehicles (except trailers and motorcycles)","Number","5,042,800",""
"2001","Austria","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Austria","Total utility vehicles","Number","850,900",""
"2001","Austria","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Austria","Lorries","Number","331,400",""
"2001","Austria","Lorries","Per thousand inhabitants",":",""
"2001","Austria","Road tractors","Number","446,600",""
"2001","Austria","Road tractors","Per thousand inhabitants",":",""
"2001","Austria","Trailers and semi-trailers","Number","552,300",""
"2001","Austria","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Austria","Motorcycles","Number","294,800",""
"2001","Austria","Motorcycles","Per thousand inhabitants",":",""
"2001","Austria","Passenger cars","Number","4,182,000",""
"2001","Austria","Passenger cars","Per thousand inhabitants","519",""
"2001","Austria","Motor coaches, buses and trolley buses","Number","9,900",""
"2001","Austria","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Austria","Special vehicles","Number","72,900",""
"2001","Austria","Special vehicles","Per thousand inhabitants",":",""
"2001","Poland","All vehicles (except trailers and motorcycles)","Number","12,756,200",""
"2001","Poland","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Poland","Total utility vehicles","Number","2,170,700",""
"2001","Poland","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Poland","Lorries","Number","1,979,300",""
"2001","Poland","Lorries","Per thousand inhabitants",":",""
"2001","Poland","Road tractors","Number","104,500",""
"2001","Poland","Road tractors","Per thousand inhabitants",":",""
"2001","Poland","Trailers and semi-trailers","Number","741,100",""
"2001","Poland","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Poland","Motorcycles","Number","802,800",""
"2001","Poland","Motorcycles","Per thousand inhabitants",":",""
"2001","Poland","Passenger cars","Number","10,503,000",""
"2001","Poland","Passenger cars","Per thousand inhabitants","275",""
"2001","Poland","Motor coaches, buses and trolley buses","Number","82,500",""
"2001","Poland","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Poland","Special vehicles","Number","86,900",""
"2001","Poland","Special vehicles","Per thousand inhabitants",":",""
"2001","Portugal","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Portugal","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Portugal","Total utility vehicles","Number",":",""
"2001","Portugal","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Portugal","Lorries","Number",":",""
"2001","Portugal","Lorries","Per thousand inhabitants",":",""
"2001","Portugal","Road tractors","Number",":",""
"2001","Portugal","Road tractors","Per thousand inhabitants",":",""
"2001","Portugal","Trailers and semi-trailers","Number","364,000",""
"2001","Portugal","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Portugal","Motorcycles","Number","371,100",""
"2001","Portugal","Motorcycles","Per thousand inhabitants",":",""
"2001","Portugal","Passenger cars","Number",":",""
"2001","Portugal","Passenger cars","Per thousand inhabitants",":",""
"2001","Portugal","Motor coaches, buses and trolley buses","Number",":",""
"2001","Portugal","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Portugal","Special vehicles","Number",":",""
"2001","Portugal","Special vehicles","Per thousand inhabitants",":",""
"2001","Romania","All vehicles (except trailers and motorcycles)","Number","3,409,400",""
"2001","Romania","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Romania","Total utility vehicles","Number","487,400",""
"2001","Romania","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Romania","Lorries","Number","403,300",""
"2001","Romania","Lorries","Per thousand inhabitants",":",""
"2001","Romania","Road tractors","Number","33,100",""
"2001","Romania","Road tractors","Per thousand inhabitants",":",""
"2001","Romania","Trailers and semi-trailers","Number",":",""
"2001","Romania","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Romania","Motorcycles","Number","103,700",""
"2001","Romania","Motorcycles","Per thousand inhabitants",":",""
"2001","Romania","Passenger cars","Number","2,881,200",""
"2001","Romania","Passenger cars","Per thousand inhabitants","132",""
"2001","Romania","Motor coaches, buses and trolley buses","Number","40,800",""
"2001","Romania","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Romania","Special vehicles","Number","51,000",""
"2001","Romania","Special vehicles","Per thousand inhabitants",":",""
"2001","Slovenia","All vehicles (except trailers and motorcycles)","Number","945,876",""
"2001","Slovenia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Slovenia","Total utility vehicles","Number","62,176",""
"2001","Slovenia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Slovenia","Lorries","Number","51,532",""
"2001","Slovenia","Lorries","Per thousand inhabitants",":",""
"2001","Slovenia","Road tractors","Number","4,583",""
"2001","Slovenia","Road tractors","Per thousand inhabitants",":",""
"2001","Slovenia","Trailers and semi-trailers","Number","13,387",""
"2001","Slovenia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Slovenia","Motorcycles","Number","11,622",""
"2001","Slovenia","Motorcycles","Per thousand inhabitants",":",""
"2001","Slovenia","Passenger cars","Number","881,487",""
"2001","Slovenia","Passenger cars","Per thousand inhabitants","442",""
"2001","Slovenia","Motor coaches, buses and trolley buses","Number","2,213",""
"2001","Slovenia","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Slovenia","Special vehicles","Number","6,061",""
"2001","Slovenia","Special vehicles","Per thousand inhabitants",":",""
"2001","Slovakia","All vehicles (except trailers and motorcycles)","Number","1,465,000",""
"2001","Slovakia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Slovakia","Total utility vehicles","Number","161,500",""
"2001","Slovakia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Slovakia","Lorries","Number","120,400",""
"2001","Slovakia","Lorries","Per thousand inhabitants",":",""
"2001","Slovakia","Road tractors","Number","5,000",""
"2001","Slovakia","Road tractors","Per thousand inhabitants",":",""
"2001","Slovakia","Trailers and semi-trailers","Number","206,600",""
"2001","Slovakia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Slovakia","Motorcycles","Number","46,800",""
"2001","Slovakia","Motorcycles","Per thousand inhabitants",":",""
