"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2003","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre",":",""
"2003","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre",":",""
"2003","Turkey","Motorways","Kilometre","1,753",""
"2003","Turkey","E-roads","Kilometre","5,953",""
"2004","Belgium","Motorways","Kilometre","1,747",""
"2004","Belgium","E-roads","Kilometre",":",""
"2004","Bulgaria","Motorways","Kilometre","331",""
"2004","Bulgaria","E-roads","Kilometre",":",""
"2004","Czechia","Motorways","Kilometre","546",""
"2004","Czechia","E-roads","Kilometre","2,601",""
"2004","Denmark","Motorways","Kilometre",":",""
"2004","Denmark","E-roads","Kilometre",":",""
"2004","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,174",""
"2004","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2004","Estonia","Motorways","Kilometre","96",""
"2004","Estonia","E-roads","Kilometre",":",""
"2004","Ireland","Motorways","Kilometre","192",""
"2004","Ireland","E-roads","Kilometre",":",""
"2004","Greece","Motorways","Kilometre",":",""
"2004","Greece","E-roads","Kilometre",":",""
"2004","Spain","Motorways","Kilometre","10,747","d"
"2004","Spain","E-roads","Kilometre",":",""
"2004","France","Motorways","Kilometre","10,486",""
"2004","France","E-roads","Kilometre",":",""
"2004","Croatia","Motorways","Kilometre","925","d"
"2004","Croatia","E-roads","Kilometre","2,037",""
"2004","Italy","Motorways","Kilometre","6,532",""
"2004","Italy","E-roads","Kilometre",":",""
"2004","Cyprus","Motorways","Kilometre","268",""
"2004","Cyprus","E-roads","Kilometre",":",""
"2004","Latvia","Motorways","Kilometre","0",""
"2004","Latvia","E-roads","Kilometre","202",""
"2004","Lithuania","Motorways","Kilometre","417",""
"2004","Lithuania","E-roads","Kilometre","1,670",""
"2004","Luxembourg","Motorways","Kilometre","146",""
"2004","Luxembourg","E-roads","Kilometre",":",""
"2004","Hungary","Motorways","Kilometre","569",""
"2004","Hungary","E-roads","Kilometre","2,101",""
"2004","Malta","Motorways","Kilometre",":",""
"2004","Malta","E-roads","Kilometre",":",""
"2004","Netherlands","Motorways","Kilometre","2,585",""
"2004","Netherlands","E-roads","Kilometre",":",""
"2004","Austria","Motorways","Kilometre","1,677",""
"2004","Austria","E-roads","Kilometre","2,242",""
"2004","Poland","Motorways","Kilometre","552",""
"2004","Poland","E-roads","Kilometre","5,500",""
"2004","Portugal","Motorways","Kilometre",":",""
"2004","Portugal","E-roads","Kilometre",":",""
"2004","Romania","Motorways","Kilometre","228",""
"2004","Romania","E-roads","Kilometre","5,868",""
"2004","Slovenia","Motorways","Kilometre","483",""
"2004","Slovenia","E-roads","Kilometre","618",""
"2004","Slovakia","Motorways","Kilometre","316.2",""
"2004","Slovakia","E-roads","Kilometre","1,535.3",""
"2004","Finland","Motorways","Kilometre","653",""
"2004","Finland","E-roads","Kilometre","4,266",""
"2004","Sweden","Motorways","Kilometre","1,684",""
"2004","Sweden","E-roads","Kilometre","5,293",""
"2004","United Kingdom","Motorways","Kilometre","3,637.99",""
"2004","United Kingdom","E-roads","Kilometre","3,756","d"
"2004","Iceland","Motorways","Kilometre","0",""
"2004","Iceland","E-roads","Kilometre","0",""
"2004","Norway","Motorways","Kilometre","193",""
"2004","Norway","E-roads","Kilometre",":",""
"2004","Switzerland","Motorways","Kilometre","1,341",""
"2004","Switzerland","E-roads","Kilometre","1,391",""
"2004","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre",":",""
"2004","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre",":",""
"2004","Turkey","Motorways","Kilometre","1,662",""
"2004","Turkey","E-roads","Kilometre","7,035",""
"2005","Belgium","Motorways","Kilometre","1,747",""
"2005","Belgium","E-roads","Kilometre",":",""
"2005","Bulgaria","Motorways","Kilometre","331",""
"2005","Bulgaria","E-roads","Kilometre",":",""
"2005","Czechia","Motorways","Kilometre","564",""
"2005","Czechia","E-roads","Kilometre","2,601",""
"2005","Denmark","Motorways","Kilometre",":",""
"2005","Denmark","E-roads","Kilometre",":",""
"2005","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,363",""
"2005","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2005","Estonia","Motorways","Kilometre","99",""
"2005","Estonia","E-roads","Kilometre",":",""
"2005","Ireland","Motorways","Kilometre","247",""
"2005","Ireland","E-roads","Kilometre",":",""
"2005","Greece","Motorways","Kilometre",":",""
"2005","Greece","E-roads","Kilometre",":",""
"2005","Spain","Motorways","Kilometre","11,432","d"
"2005","Spain","E-roads","Kilometre",":",""
"2005","France","Motorways","Kilometre","10,800",""
"2005","France","E-roads","Kilometre","13,218",""
"2005","Croatia","Motorways","Kilometre","1,016","d"
"2005","Croatia","E-roads","Kilometre","2,037",""
"2005","Italy","Motorways","Kilometre","6,542",""
"2005","Italy","E-roads","Kilometre",":",""
"2005","Cyprus","Motorways","Kilometre","276",""
"2005","Cyprus","E-roads","Kilometre",":",""
"2005","Latvia","Motorways","Kilometre","0",""
"2005","Latvia","E-roads","Kilometre","202",""
"2005","Lithuania","Motorways","Kilometre","417",""
"2005","Lithuania","E-roads","Kilometre","1,670",""
"2005","Luxembourg","Motorways","Kilometre","147",""
"2005","Luxembourg","E-roads","Kilometre",":",""
"2005","Hungary","Motorways","Kilometre","636",""
"2005","Hungary","E-roads","Kilometre","2,115",""
"2005","Malta","Motorways","Kilometre",":",""
"2005","Malta","E-roads","Kilometre",":",""
"2005","Netherlands","Motorways","Kilometre","2,600",""
"2005","Netherlands","E-roads","Kilometre",":",""
"2005","Austria","Motorways","Kilometre","1,677",""
"2005","Austria","E-roads","Kilometre","2,236",""
"2005","Poland","Motorways","Kilometre","552",""
"2005","Poland","E-roads","Kilometre","5,500",""
"2005","Portugal","Motorways","Kilometre",":",""
"2005","Portugal","E-roads","Kilometre",":",""
"2005","Romania","Motorways","Kilometre","228",""
"2005","Romania","E-roads","Kilometre","5,873",""
"2005","Slovenia","Motorways","Kilometre","569",""
"2005","Slovenia","E-roads","Kilometre","624",""
"2005","Slovakia","Motorways","Kilometre","327.5",""
"2005","Slovakia","E-roads","Kilometre","1,537.5",""
"2005","Finland","Motorways","Kilometre","693",""
"2005","Finland","E-roads","Kilometre","4,267",""
"2005","Sweden","Motorways","Kilometre","1,677",""
"2005","Sweden","E-roads","Kilometre","5,293",""
"2005","United Kingdom","Motorways","Kilometre","3,632.69",""
"2005","United Kingdom","E-roads","Kilometre","3,756","d"
"2005","Iceland","Motorways","Kilometre","11",""
